index,Components,RMSE,MAE,R^2
153,"['8', '9']",7.436325866787242,5.03034522504404,0.017709083650360058
154,"['8', '9', '10']",7.39409360592949,5.0091092592387545,0.028834622872206617
155,"['8', '9', '10', '11']",7.351418321224828,5.01114904613131,0.04001250651477695
156,"['8', '9', '10', '11', '12']",7.317016319670146,4.8366464353143614,0.048976278150549724
157,"['8', '9', '10', '11', '12', '13']",7.246076668485904,4.871607105574805,0.06732754176226341
158,"['8', '9', '10', '11', '12', '13', '14']",7.247724198766894,4.954081977566875,0.0669033726910574
159,"['8', '9', '10', '11', '12', '13', '14', '15']",7.235911088254675,4.834781282169837,0.06994261376356636
160,"['8', '9', '10', '11', '12', '13', '14', '15', '16']",7.207223332618601,5.027828758484603,0.0773026733207679
161,"['8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",7.186858018746326,4.7870322882463165,0.0825098026370421
162,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']",6.925113832990469,4.630034349387429,0.14812252344955468
163,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",6.932455552951555,4.68687935925076,0.1463153152876051
164,"['2', '3', '4', '5', '6', '7', '8', '9']",6.991302465165656,4.507607871219281,0.1317606088847747
165,"['3', '4', '5', '6', '7', '8', '9']",7.025539255057561,4.7818199364492715,0.12323615610407768
166,"['4', '5', '6', '7', '8', '9']",7.100204154499839,4.907249038371843,0.10450126814466565
167,"['5', '6', '7', '8', '9']",7.261973788344385,4.886857201358475,0.06323068473128535
168,"['6', '7', '8', '9']",7.29676064464732,5.048902677917713,0.05423442242313037
169,"['7', '8', '9']",7.3716099542318805,5.154703860164674,0.03473180168543577
170,"['8', '9']",7.441901797741627,5.227009107417066,0.01623544199290572
171,['9'],7.464755537451367,5.186145247965081,0.010183972509373751
172,"['9', '10']",7.433492473778391,5.098111483256783,0.018457487104861392
173,"['9', '10', '11']",7.382901349120151,5.1502766810376155,0.0317724558001512
174,"['9', '10', '11', '12']",7.3374756271966435,5.075203836455727,0.043650476358568446
175,"['9', '10', '11', '12', '13']",7.290145064756658,4.882442528378564,0.05594859442208533
176,"['9', '10', '11', '12', '13', '14']",7.279229948869695,4.827443251117468,0.0587734261057955
177,"['9', '10', '11', '12', '13', '14', '15']",7.247952032144392,5.029100431333894,0.06684470768347417
178,"['9', '10', '11', '12', '13', '14', '15', '16']",7.221556831165256,5.033767044410293,0.07362896116017281
179,"['9', '10', '11', '12', '13', '14', '15', '16', '17']",7.182353356892519,4.7692481743808095,0.08365959238468801
180,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",6.892522248694492,4.504549527236434,0.15612201760095046
181,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",6.963552389711926,4.66342956657758,0.13863941065894014
182,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",7.00120392402749,4.509881434024539,0.1292995726736864
183,"['3', '4', '5', '6', '7', '8', '9', '10']",7.0779421969526535,4.912892007763603,0.11010795251077443
184,"['4', '5', '6', '7', '8', '9', '10']",7.10641316194063,4.854356085349955,0.10293438660152554
185,"['5', '6', '7', '8', '9', '10']",7.253942666021649,4.9101816985991364,0.06530151261084471
186,"['6', '7', '8', '9', '10']",7.298148925637567,4.806010625847495,0.0538745056488108
187,"['7', '8', '9', '10']",7.339622839532476,4.928511195695182,0.043090669127535786
188,"['8', '9', '10']",7.398706242137232,4.982808936646553,0.027622566309432273
189,"['9', '10']",7.437065707491427,5.168101819238219,0.017513617510780177
190,['10'],7.497434885268471,5.284520326183268,0.001498531780197765
191,"['10', '11']",7.400426153751703,4.980703685272082,0.02717043384965101
192,"['10', '11', '12']",7.386659840299021,4.873722116690145,0.030786393328804396
193,"['10', '11', '12', '13']",7.331410076088088,5.054858068056443,0.045230962505853456
194,"['10', '11', '12', '13', '14']",7.311892197095713,4.971932521545581,0.05030781974238496
195,"['10', '11', '12', '13', '14', '15']",7.288731153815763,4.907421163299619,0.05631475316316492
196,"['10', '11', '12', '13', '14', '15', '16']",7.240120305114105,4.937577199045969,0.06886024781691857
197,"['10', '11', '12', '13', '14', '15', '16', '17']",7.207406048234502,4.820672491875728,0.07725588877154732
198,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.90067326866541,4.512948604818964,0.15412491603551692
199,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.928319176395421,4.482561782689225,0.14733374456513315
200,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",6.978904588504924,4.569575967591056,0.1348372260370142
201,"['3', '4', '5', '6', '7', '8', '9', '10', '11']",6.999030201531129,4.795569343271004,0.12984015606814903
202,"['4', '5', '6', '7', '8', '9', '10', '11']",7.064954904516496,4.570066049683624,0.1133706762576745
203,"['5', '6', '7', '8', '9', '10', '11']",7.153247624653369,4.940238988532696,0.09107129075100051
204,"['6', '7', '8', '9', '10', '11']",7.202415946819984,4.742253764759335,0.0785331840020026
205,"['7', '8', '9', '10', '11']",7.271291109297162,4.86533988351641,0.06082533878080987
206,"['8', '9', '10', '11']",7.375709892130571,5.24278384675233,0.033657778441029795
207,"['9', '10', '11']",7.387407327764309,5.146723997481459,0.030590225725533715
208,"['10', '11']",7.399723543861706,5.034723167484381,0.027355149489793784
209,['11'],7.427304872122937,5.1026212271707685,0.02009086908992397
210,"['11', '12']",7.391433533035339,5.064577677806766,0.02953326320351768
211,"['11', '12', '13']",7.362962775353605,5.046428407411839,0.036995066085952155
212,"['11', '12', '13', '14']",7.335932959044242,4.912191823557155,0.044052569649832174
213,"['11', '12', '13', '14', '15']",7.31576550674395,5.041608912831154,0.049301397307851325
214,"['11', '12', '13', '14', '15', '16']",7.250998479106501,4.970882872277591,0.06606009831106241
215,"['11', '12', '13', '14', '15', '16', '17']",7.2276496829365025,4.815504901827414,0.07206513701821271
216,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.907388513412166,4.437811719828729,0.15247782398970466
217,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.936042614111365,4.4627944010648335,0.14543164242622264
218,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.94565157943434,4.5786273699402535,0.14306222050813666
219,"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",6.949412264109275,4.533303295444617,0.1421340008337043
220,"['4', '5', '6', '7', '8', '9', '10', '11', '12']",7.0116404247409605,4.570359408060623,0.12670177988028253
221,"['5', '6', '7', '8', '9', '10', '11', '12']",7.129721142062279,4.686730031434504,0.09704025242524639
222,"['6', '7', '8', '9', '10', '11', '12']",7.192593887271904,5.0040158213650505,0.08104471088561727
223,"['7', '8', '9', '10', '11', '12']",7.241775294346952,4.88352639062153,0.06843450837403431
224,"['8', '9', '10', '11', '12']",7.317616264881331,4.927503438109716,0.04882031689699695
225,"['9', '10', '11', '12']",7.3483002023598,4.975072428170239,0.040826695060187435
226,"['10', '11', '12']",7.369772118882364,5.0173378091144505,0.03521304876357734
227,"['11', '12']",7.428658109526173,5.310080351200194,0.019733762302976743
228,['12'],7.4701787968231566,5.003014022136791,0.008745217014112017
229,"['12', '13']",7.42715097406664,5.054034758194576,0.020131477238046647
230,"['12', '13', '14']",7.39938061617534,5.098181639056306,0.02744529856561584
231,"['12', '13', '14', '15']",7.3600825510345524,5.041703757064295,0.03774833017709067
